category,message,age,years_of_experience,monthly_income,distance_traveled,risk_zone,gender,education_level,vehicle_type,number_of_children,marital_status,average_hours_worked_per_week,customer_rating,number_of_trips_last_month,average_trip_duration,region
finanzas,Sense suffer require vote point trial. Team social each themselves very. Doctor hope as newspaper size late age.,31,3,3395,3766,baja,male,high_school,van,4,divorced,43,4.3,75,91,south
recursos_humanos,Stay true away from eight chair news. Month drop financial free laugh live language room.,21,3,3244,558,alta,female,master,sedan,0,single,22,5.0,89,114,west
recursos_humanos,Create low lead. Why sit teacher current off art keep.,54,10,2340,6711,baja,male,high_school,sedan,4,divorced,55,3.5,56,72,south
finanzas,Current skin instead then hear long movement. Tv include say pick house best.,51,15,3433,1607,baja,male,high_school,suv,4,married,36,3.6,26,19,west
finanzas,Possible soldier traditional population. Avoid claim east news.,38,8,2860,6917,media,female,master,van,4,divorced,23,4.8,88,106,east
recursos_humanos,Trip gun leader impact. Give man whole yard person.,22,3,1213,3654,alta,female,bachelor,sedan,2,divorced,22,3.8,58,69,south
recursos_humanos,Create spring on today call light show. Important a vote player. Often police list outside television accept mean career. Allow try apply coach nearly.,56,20,3016,3793,baja,female,high_school,motorcycle,1,single,27,3.3,87,79,south
finanzas,Live economic executive gas themselves dog. Look issue here wear anything consider camera minute.,25,3,4882,2247,media,female,master,suv,2,divorced,23,4.0,26,83,south
operaciones,Mean coach bank enter space room feeling agency. Could week he despite it such.,32,14,1041,1952,media,female,phd,van,4,divorced,57,3.3,55,52,south
recursos_humanos,Box serve writer news impact score. Number information mind federal memory. True box build Mrs their score theory.,42,15,4107,7533,media,female,bachelor,sedan,3,divorced,55,3.9,79,56,north
recursos_humanos,Direction strategy home support maybe. Piece realize each from organization. Color system available life prove continue lot this.,34,14,1088,9092,media,female,master,sedan,0,divorced,36,4.1,18,82,west
finanzas,Defense machine six brother likely. Act break sign.,23,1,4854,3464,media,female,high_school,suv,3,divorced,32,3.8,61,30,west
operaciones,All heavy fly employee pass wonder remember. Wide decision task boy try at current. Thought Congress have PM stop.,39,4,4329,2780,alta,female,high_school,suv,5,married,57,4.9,57,98,north
operaciones,Treatment personal present word chance community side. Season station very per late. Issue quickly economic.,43,7,1072,4363,media,female,bachelor,sedan,0,married,54,3.5,95,71,west
operaciones,Would its experience then myself check politics. Seat feel fish. Enough business window military rule. Political TV whose something compare good.,20,2,2931,9287,baja,male,bachelor,suv,5,married,31,3.0,34,42,north
operaciones,Bank vote outside for each father present.,57,16,2882,5331,baja,female,high_school,motorcycle,2,married,40,4.7,32,29,east
recursos_humanos,Field threat matter. Research large various TV. Like mouth control mouth past base peace. Of check drug Republican free sign then.,38,5,1826,7815,baja,female,phd,motorcycle,1,widowed,40,3.8,66,29,south
finanzas,Nothing front performance indeed through tend. Kid both strategy notice loss. Walk push government choose difficult.,47,4,3338,9863,alta,female,high_school,suv,3,single,51,4.3,92,110,north
finanzas,More question itself strong mind. Seem chair glass investment.,54,2,3582,480,media,female,bachelor,sedan,4,single,49,4.5,99,21,east
operaciones,Challenge environment begin consumer. Scientist political water popular.,55,17,1180,9875,alta,male,master,sedan,2,married,52,4.4,25,60,north
finanzas,Serve third imagine month law. None them industry seven. Any term read student class.,49,1,3803,1938,alta,female,master,van,4,married,39,3.8,95,73,west
operaciones,Work senior sense none Mr nice real yeah. Group soldier let city building.,25,1,1097,4339,baja,female,phd,motorcycle,5,divorced,20,3.2,69,70,west
finanzas,Cause think step start. Task central night support new reality evening.,28,4,2421,5897,media,female,bachelor,suv,4,married,44,4.6,17,50,south
recursos_humanos,Forget trip art method soldier ok. Which senior culture green program. Produce group card agent kind bill. Argue him financial thousand direction.,54,9,2755,5184,baja,male,master,sedan,2,single,39,4.0,33,89,west
recursos_humanos,Piece hard mission. Girl nice assume strategy magazine most detail. Everything race fill.,60,7,3318,7756,alta,female,high_school,motorcycle,5,single,59,3.2,57,31,east
finanzas,Area may fly himself cost remember house. Institution well fine. Clearly difference according brother court parent represent.,32,2,4794,4840,baja,male,high_school,van,3,divorced,48,4.0,48,94,west
operaciones,Produce customer north country trouble onto. High little movie partner risk technology.,44,16,1356,6335,baja,female,master,sedan,3,divorced,36,4.7,85,64,west
finanzas,Should any probably low agent window. Central add modern four moment. Listen price know can.,30,2,2402,393,alta,female,high_school,motorcycle,5,divorced,35,3.7,15,115,west
recursos_humanos,Might bad she should model agree second. Have event debate energy.,32,11,3324,2252,alta,female,phd,sedan,1,divorced,33,3.8,24,83,east
operaciones,Character charge result especially your. Dog moment road out once.,45,15,3487,6650,baja,female,high_school,suv,0,married,58,3.4,50,41,east
finanzas,Pressure city week sing teacher. Hot expert evening.,60,6,1167,5402,baja,male,bachelor,van,5,single,42,4.3,39,114,south
recursos_humanos,Worker board just. Stock let former. Impact fight sport yet.,49,11,3944,5152,alta,female,high_school,suv,3,divorced,53,3.2,57,94,south
operaciones,Happy decide them late drive discover great although. Trouble explain lay full.,41,17,4360,9905,alta,male,high_school,sedan,5,divorced,45,4.9,48,88,north
operaciones,Ready require not reflect. Finally the national catch respond. Food buy strategy process mouth.,22,1,4645,4107,alta,male,phd,suv,0,married,54,3.8,74,98,south
recursos_humanos,Call big amount. Without bar idea also. Their surface answer risk.,28,5,1879,2466,alta,female,bachelor,motorcycle,0,widowed,29,3.9,67,78,west
operaciones,Message no generation challenge painting seven executive. Money edge four player mind resource.,44,7,1698,8331,baja,male,high_school,sedan,4,single,49,4.8,79,89,north
recursos_humanos,Computer really me test. And attack cut summer coach bill ability. Several pick official art food various whom.,23,2,4435,4993,baja,female,bachelor,suv,5,single,29,3.9,62,12,east
recursos_humanos,Religious product strategy list age still man every. Create similar particular trial us.,59,16,3228,2793,alta,female,phd,van,5,divorced,24,3.7,84,90,south
finanzas,Amount cost world explain. Learn human big side get window will. Happen stuff major.,38,5,4490,6144,baja,male,phd,suv,4,married,48,3.6,45,25,west
operaciones,Physical city involve news race blue operation. Want human know business.,26,8,3960,8169,baja,female,high_school,suv,1,divorced,37,3.2,11,34,north
recursos_humanos,Sister medical would baby manager.,41,14,2909,3135,media,female,phd,motorcycle,4,single,37,3.7,89,95,south
operaciones,Worker look add likely nor put. Model recently option direction. Sense raise vote. Particular quite eight all.,52,2,1582,4219,baja,male,bachelor,motorcycle,5,married,43,3.4,49,38,east
finanzas,Hundred expert service well. Energy behind itself none. Network begin focus international. Piece address market send.,30,2,4422,817,baja,female,high_school,sedan,4,divorced,60,4.1,11,72,north
finanzas,Full build back doctor class president. Mission building yourself if. Government whom help professional begin. Firm experience prepare apply figure.,41,2,1004,4541,media,male,master,sedan,4,widowed,50,4.8,45,97,north
recursos_humanos,Growth personal better million focus employee. Hold high pretty American. Wife husband seem image behind.,38,10,4207,2204,alta,female,master,motorcycle,4,widowed,39,4.8,62,16,west
operaciones,Seem class expect over miss apply that. Never piece century son garden. Teacher company something great doctor pass.,49,16,3201,6758,alta,male,phd,sedan,2,married,43,3.6,90,50,west
finanzas,Black argue best media art able. Create trip style group road. Generation PM watch between fact realize truth.,43,18,4975,9115,media,female,master,suv,3,married,48,4.2,63,104,north
recursos_humanos,Audience front reveal so stage remember. Establish relationship actually couple at probably friend.,29,6,1576,1641,alta,female,high_school,motorcycle,0,married,30,5.0,14,81,east
operaciones,Start garden machine school form bit generation. Southern sit miss either home such. Condition too modern never debate rate western open.,40,3,1789,4885,baja,male,phd,motorcycle,0,married,44,4.1,62,42,east
finanzas,Data threat really read just. Clear by strong television dark.,24,5,4946,1831,media,female,master,suv,4,widowed,50,4.9,38,57,east
recursos_humanos,Daughter move actually those catch exist religious. Rather view benefit small turn economic. Receive figure almost high south firm behavior.,25,6,4850,5204,baja,male,phd,sedan,0,married,20,3.7,16,70,west
operaciones,Choice dog spring series blood leader hit. Cultural actually line scientist easy share.,29,9,4322,3457,media,male,high_school,van,0,married,45,4.8,95,30,south
recursos_humanos,Talk recent because democratic identify short. Range prevent board whether similar executive identify. Race yet industry cold. Possible sport green Democrat final easy law.,45,20,4451,4911,media,male,bachelor,sedan,3,single,44,3.7,50,68,south
recursos_humanos,Our include design rate center stop. Finally near yard once describe maintain. Later heart their now.,55,14,3669,4167,baja,male,high_school,sedan,1,divorced,60,4.6,90,101,south
operaciones,Side summer culture choice right recently talk. Language front project where. Material adult power piece education air.,29,10,3173,6648,baja,male,high_school,sedan,0,divorced,34,4.5,23,58,east
finanzas,Chair firm wrong detail. Just single natural debate partner blood.,58,6,3666,9052,alta,male,high_school,suv,3,divorced,54,4.3,100,81,east
recursos_humanos,Affect lawyer cell.,36,15,2141,8839,baja,female,phd,van,2,divorced,32,4.7,14,49,west
operaciones,College officer off third area support movement. Effort but remain forward.,56,7,1156,7946,alta,female,high_school,sedan,1,married,32,4.5,81,59,south
